Test,Ref,Unit
RBC MORPHOLOGY,Normocytic Normochromlie,
RBC MORPHOLOGY,"Normocytic,Normochromic",
RBC MORPHOLOGY,Naormocytic Normachromic,
RBC MORPHOLOGY,Narmocytic Normochiunig,
RBC MORPHOLOGY,,Normocytic Normochromic
RBC MORPHOLOGY,Noarmocytic Normochromic,
RBC PARAMETERS Haemoglobin,12.0-15.0,g/dL
RBC s,,/HPF
RBC S,Nil,/HPF
RBC s,,
"Rbc shownormocytic normochromic cells, no NRBC seen, no parasite seen",,
RBC'S,0-2,/HPF
RBC'S>NIL,,
RBC/hpf,Absent,
RBC\'s,,/HPF
RBC\'S,Nil,/HPF
RBC\'s,,
RBCCount,4.5-5.5,millions/cumm
RBCs,,/HPF
RBCS,,
RBCS,0-2,/HPF
RBCs,ABSENT,/ hpf
RBCs/hpf,,
RDW,11.6-14.0,%
RDW,9.5-14.5,%
RDW,11.6-14,%
RDW,11.6-15.0,%
RDW,10.0/16.0,%
RDW,11.6-156.0,%
RDW,11.6-16.0,%
RDW,11.6-13.7,%
RDW,10.0 /16.0,%
RDW,9.5-145,%
RDW,10.0 / 16.0,%
RDW,11.5-14.5,%
RDW,9.5 14.5,%
RDW,10-16,%
RDW,11.5-15.0,%
RDW,11.0-16.0,%
RDW (Red Cell Distribution Width),11.5-14.0,%
RDW - SD,11-14,%
RDW-CV,11.5-16.5,%
RDW-CV,10-16,%
RDW-CV,11-16,%
RDW-CV,0.110-0.160,
RDW-CV,;,%
RDW-CV>43.3,11-16,%
RDW-SD,37.0/46.0,fL
RDW-SD,37.0 /46.0,fL
RDW-SD,37.0 / 46.0,fL
RDW-SD,35.0-56.0,fL
RDW-SD,37.0 146.0,fL
RDWcv,11.6-14,
Reaction,,
Reaction,4.5-8.0,pH
REACTION,ALKALINE,
Reaction,Acidic,
Reaction,4.6-8.0,
Reaction,4.5-8.0,(pH)
REACTION,4.5-8.0,
REACTION,ALKAUNE,
Reaction (pH),4.5-8.0,
Reaction (PH),,
Reaction (pH),4.5-8,
Reaction (pH),-,
Reaction (pH),4.8-7.6,
REACTION (PH),4.6-8.0,
REACTION ACIDIC ALBUMIN,,
REACTION ACIDIC ALLKALINE SUGAR,NIL,
Reaction pH,4.5-8.0,
REACTION(PH),4.6-8.0,
Reaction(pH),,
Reaction>-Acidic specific Gravity 1.019 Deposits,,
Read Blood Cell,,
REC,,
Recommendations,,
RECS,NIL,
Red Blood Celis,,
RED BLOOD CELL COUNT,High 3.8-4.8,mil/μL
RED BLOOD CELL COUNT,4.5-5.5,mil/µL
RED BLOOD CELL COUNT,3.8-4.8,mil/µL
RED BLOOD CELL COUNT,4.5 5.5,mil/µL
RED BLOOD CELL COUNT,High 4.5-5.5,mil/µL
RED BLOOD CELL COUNT,High 3.8-4.8,mil/µL
RED BLOOD CELL COUNT,High 4.5-5.5,mil/L
RED BLOOD CELL COUNT,Male: 3.80-5.80;,milL/cmm
RED BLOOD CELL COUNT,Low 4.5-5.5,mil/µL
RED BLOOD CELL COUNT,4.5-5.5,mil/uL
RED BLOOD CELL COUNT,4.5-5.5,mil/L
RED BLOOD CELL COUNT,Low 4.5-5.5 mil/L,
RED BLOOD CELL COUNT,4.5-5.5,High
RED BLOOD CELLS,NOT DETECTED,/HPF
Red Blood Cells,,
Red Blood Cells,00-03,/hpf
RED BLOOD CELLS,ABSENT,/hpf
Red Blood Cells,0-2,/hpf
RED BLOOD CELLS,NO DETECTED,/HPF
Red blood cells,0-1,/hpf
Red Blood Cells,Nil,
Red Blood Cells,,/HPF
Red Blood Cells,0-2,/ hpf
RED BLOOD CELLS,NOT DETECTED,
RED BLOOD CELLS,/HPF,NOT DETECTED
Red Blood Cells,,hpf
Red Blood Cells / hpf,0-2,/hpf
Red Blood Cells hpf,0-2,/hpf
Red Blood Cetts,,
Red Blood Count,4.00-6.20,mill/cu.mm
RED BLOOD COUNT - RBC,4.5-6,million/curmmm
Red Blowd Ceils,,
RED CELL COUNT,(4.5-8.5),milions/cumm
RED CELL COUNT,4.5-6.5,millions/cumm
RED CELL DISTRIBUTION WIDTH,11.6-14.0,%
RED CELL DISTRIBUTION WIDTH,High 11.6-14.0,%
RED CELL DISTRIBUTION WIDTH,11.6-14.0,% MEAN
Red Cell Distribution Width (RDW),11.5-14.5,%
RED CELL DISTRIBUTION WITH CV,11.5-15,%
RED CELL DISTRIBUTION WITH SD,39-46,fl
Red cells,,/H.P.F
Red cells,,/H.P.F.
Red Cells,,/HPF
Red cells,,H.P.F.
Red Cells,,
Red cells,,/H.P.F..
Red cells,,H.P.F
Red Cells Count,4.00-6.20,mill/cu.mm.
Red Cells Count,4.00-6.20,mill/cu.mm
Red Cells Count,4.00-6.20,mil/cu.mm
Reducing Substance,,
Reducing Substances,Absent,
Reducing Sugar,,
REDUCING SUSBSTANCES,ABSENT,
REDUGING SUGAR,,
REFLEXES,,
RELEVANT FAMILY HISTORY,,
RELEVANT GP EXAMINATION FINDINGS,,
RELEVANT HISTORY,,
RELEVANT LAB INVESTIGATIONS,,
RELEVANT LAB INVESTIGATIONS ALT SGPT RAISED,,U/L
RELEVANT NON PATHOLOGY DIAGNOSTICS,,
RELEVANT PAST HISTORY,,
RELEVANT PERSONAL HISTORY,,
RELEVANT POSITIVE FINDINGS,,
RELEVANT PRESENT HISTORY,,
REMARK,,
REMARKS,,
REMARKS,NOT DETECTED,
REMARKS / RECOMMENDATIONS,,
REMARKS/ RECOMMENDATIONS,,
Report,,
RESPIRATORY RATE,,
Result,,
RGC COUNT,4.5-5.5,10^6/µL
RH,,
RH,;,
Rh (D) FACTOR,,
Rh (D) Type,,
Rh (D)Type,,
Rh FACTOR,,
RH TYPE,,
Rh TYPE,,Microplate
Rh TYPING,,
Rh(Factor),,
RhD Typing,,
Rhythm,,
RIGHT ATRIUM,,
RIGHT VENTRICLE,,
ROW,"9.5-14,5",%
RS,,
RUDUCING SUGAR,,
Running Nose,,
RV,,
RWMA,,
RYSTALS,NIL,
S . Bilirubin(indirect),0.2-0.6,mg/dL
S CREATININE,to1.5,mg/dL
S Creatinine,0.5-1.5,mg/dL
S SGPT(ALT),5-40,U/I
"S, Bilirubin (D)",0.0-0.4,mg%
S. Bilirubin ( D),0.0-0.4,mg%
S. Bilirubin (D),0.0-0.4,mg%
S. Bilirubin (I),0.2-0.8,mg%
S. Bilirubin (T),0.2-1.2,mg%
S. Cholesterol,0-200 ;,mg%
S. Cholesterol,0-200 mg;,mg%
S. CHOLESTEROL,130-250,mg dl
S. Cholesterol,0-200;,mg%
S. Cholesterol,Desirable 0-200;,mg/dL
S. CHOLESTROL,130-250,mg/dL
S. Creatinine,0.7-1.4,mg/dL
S. Creatinine,0.5-1.5,mg/dL
S. Creatinine,Male: 0.5-1.4 ;,mg%
S. Creatinine,Male:05-14 ;,mg%
S. G. O. T ; Serum,0.0-35.0,IU/L
S. G. P. T ; Serum,0.0-45.0,IU/L
S. HDL CHOLESTEROL,30-65,mg dl
S. HDL CHOLESTROL,30-65,mg/dL
S. LDL CHOLESTEROL,0-100,mg/dL
S. LDL CHOLESTROL,0-100,mg/dL
S. TRIGLYCERIDES,0-170,mg/dL
S. Triglycerides,25-160,
S. Triglycerides,25-160,mg%
S. TRIGLYCERIDES,0-170,mg dl
S. Triglycerides,Normal : 0-150;,mg/dL
S. VLDL CHOLESTROL,15-45,mg/dL
S.Aikaline Phosphatase,36-140,U/L
S.Albumin,gmid 3.5 S5gmidl,
S.ALT (SGPT),5-33,IU/L
S.ALT (SGPT),5-41,IU/L
S.AST (SGOT),5-32,IU/L
S.AST (SGOT),5-40,IU/L
S.AST(SGOT),5-40,I U/L
S.Bilirubin (D),0.0-0.4,mg%
S.Bilirubin(indirect),0.2-0.6,mg/dL
S.Bilirubun,0.3-0.9,mg/dL
S.Calcium,8.6-10.0,mg/dL
S.Cholesterol,Desirable 0-200;,mg/dL
S.Cholesterol,0-200 Desirable;,mg/dL
S.Cholesterol,150-200,mmol/L
S.Cholesterol,0-200 Desirable ;,mg/dL
S.Cholesterol,120-200,mg/dL
S.Creatinine,O.7-1.3,mg/dL
S.Creatinine,O.7 1.3,mg/dL
S.Creatinine,0.7-1.4,mg/dL
S.Creatinine,0.7-1.3,mg/dL
S.Creatinine,0.5-1.5,mg/dL
S.Creatinine,0.50-1.1,mg/dL
S.Creatinine,Male : 0.5-1.4 ;,mg%
S.Creatinine,0.5-1.5;,mg/dL
S.Creatinine,0.5-1.5,mgldl
S.Creatinine,0.50-1.3,mg/dL
S.Creatinine,Child - 0.26-0.77 Infant -0.16-0.39;,mg/dL
S.Creatinine,0.5-1.5,rng/dl
S.Creatinine,child : 0.26 - O.77;,mg/dL
S.Creatinine,Child: 0.26-0.77;,mg/dL
S.Creatinine,Child - 0.26-0.77;,mg/dL
S.Creatinine,Male: 0.5-1.4;,mg%
S.Creatinine,0.7-1. 4,mg/dL
S.Creatinine,05-15,mg/dL
S.Creatinine,[0.7-1.4],mg/dL
S.Creatinine,0.50-13,mg/dL
S.Creatinine,[0.7-1.4 ],mg/dL
S.CREATININE,ma/dl 0.5-1.5,mg/dL
S.Direct Bilirubin,0.1-0.4,mg/dL
S.G. O. T; Serum,0.0-35.0,IU/L
S.G.0.T,08-40,IU/L
S.G.0.T,UL,UL0-35
S.G.0.T,8-40,U/L
S.G.0.T AST,0-40,U/L
S.G.O.T,0-35.0,U/L
S.G.O.T,8-45,IU/L
S.G.O.T,0-35.0 U/L,U/L
S.G.O.T,0-46.0,U/L
S.G.O.T,0-35.0U/L,U/L
S.G.O.T,[0-35.0],U/L
S.G.O.T,[0-46.0],U/L
S.G.O.T,[0-46.0U/L],U/L
S.G.O.T,U/L0-46.0U/L,
S.G.O.T (AST),0-40,U/L
S.G.O.T.,0-35.0,U/L
S.G.O.T.,0-46.0,U/L
S.G.O.T.,0-46.0;,U/L
S.G.O.T. (AST),0-46.0,IU/L
S.G.O.T/AST,08-40,IU/L
S.G.O.T/AST,08-40,U/L
S.G.O.T; Serum,0.0-35.0,IU/L
S.G.O.T;Serum;,0.0-40.0,lU/L
S.G.OT,0-46.0,U/L
S.G.P.T,0-49.0,U/L
S.G.P.T,5-49,IU/L
S.G.P.T,05-35,IU/L
S.G.P.T,0-49.0U/L,U/L
S.G.P.T,[0-49.0],U/L
S.G.P.T,[0-49.0U/L],U/L
S.G.P.T,U/L0-49.0U/L,
S.G.P.T ALT,0-40,U/L
S.G.P.T.,0-41.0,U/L
S.G.P.T.,0-49.0,U/L
S.G.P.T.,0-49.0 U/L,U/L
S.G.P.T. (ALT),0-40,U/L
S.G.P.T. (ALT),0-49.0,IU/L
S.G.P.T/ALT,05-35,IU/L
S.G.P.T/ALT,05-35,U/L
S.G.P.T; Serum,0.0-45.0,IU/L
S.G.P.T;Serum;,0.0-40.0,lU/L
S.GOT(AST),0-35,IU/LT
S.GP.T,0-49.0,U/L
S.GPT,0-49.0,U/L
S.GPT(ALT),5-40,IU/LT
S.HDL,30-70,mg/dL
S.HDL-Cholesterol,0-40 (Man): Poor;,mg/dL
S.HDL-Cholesterol,0-40 (Man)-poor ;,mg/dL
S.HDl-Cholesterol,Male : > 50 ;,mg/dL
S.LDL-Choleslerol,0-100 -ideal for people at risk of heart disease ;,mg/dL
S.LDL-Cholesterol,0-100 - Risk of Heart;,mg/dL
S.LDL-Cholesterol,60-130,mg/dL
S.P GRAVITY,1.002-1.030,
S.SGOT (AST),5-40,IU/I
S.SGOT(AST),5-40,IU/I
S.SGOT(AST),5-50,IU/I
S.SGOT(AST),5-50,lU/l
S.SGPT(ALT),5-40,U/I
S.SGPT(ALT),5-50,U/l
S.Total Bilirubin,0.2-1.2,mg/dL
S.Total Bilirubin,0.3-1.2,mg/dL
S.Total chole/HDL Ratio 3.150-5.0 LDL Chole/HDL Chole,,
S.Total Protein,gmdi 6-8.5 gmi/dl,
S.Triglycerides,0-150 Desirable;,mg/dL
S.Triglycerides,25-160,mg%
S.Triglycerides,0-150 - Desirable;,mg/dL
S.Triglycerides,50-150,mg/dL
S.Urea,13.0-45.0,mg/dL
S.Uric Acid,3.4-7.0,mg/dL
S.VLDL - Cholesterol,10-40,mg/dL
S.VLDL-Cholesterol,10-40,mg/dL
S.VLDL-Cholesterot,10-40,mg/dL
SA.VLOL,40,% meafdl
Sample EDTA Whole Blood Blood Counts Hemoglobin,13.0-17.0,Gm%
SAMPLE TYPE,,
"SAMPLE TYPE, SPUTUM",,
Sarum Creatinine Alkaling,,
Sedi,,
SEDIMENT,Absent,
SEDIMENTATION RATE (ESR),0-14,mm at 1 hr
SEDIMENTS,,
SEGMENTED NEUTROPHILS,40-80,%
"sensitive TSH, Serum",0.35-5.5,microIU/ml
"sensitiveTSH, Serum",0.35-5.5,microIU/ml
SENSORY SYSTEM,,
Seruin Uric Acid,2.6-6.0,mg/dL Male mg/dL
Serum 97>60 ml/min/1.73sqm,,
Serum ALBUMIN,ABSENT,
Serum Albumin,3.7-5.3,gm/dl
Serum Bilirubin Direct,E.V. 0.0-0.25,mg/dL
Serum Bilirubin Direct 020mg E.V,,mg/dL
Serum Bilirubin Indirect,,mg/dL
Serum Bilirubin Indirect,E.V. 0.0-1.0,mg/dL
Serum Bilirubin Indirect 0.34mgdl,,
Serum Bilirubin Total,0.0-1.0,mg/dL
Serum Bilirubin Total,E.V.0.0-1.0,mg/dL
Serum Bilirubin Total,E.V. 00-1.0,mg/dL
Serum Bilirubin Total,"EV. 0,0-1.0",mg/dL
Serum Bilirubin(Total,0.21.0,mas/di
Serum Cholesterol,140-250,mg/dL
Serum Cholesterol,E.V. 150-260,mg/dL
SERUM CHOLESTEROL,130-200,mg/dL
Serum Cholesterol,150-260,mg/dL EV mg/dL
Serum Cholesterol,,
Serum Creatinine,07-1.2,mg/dL
SERUM CREATININE,0.7-1.4,mg/dL
Serum Creatinine,0.2-1.2,mg/dL
Serum Creatinine,0.2 -- 1.2,mg/dL
Serum Creatinine,02--1.2,mg/dL
Serum Creatinine,15----45,
Serum Creatinine,0.2--- 1.2,mg/dL
Serum Creatinine,0.2--1.2,mg/dL
Serum Creatinine,0.2 ---1.2,mg/dL
Serum Creatinine,0.2---1.2,mg/dL
Serum Creatinine,0.2----1.2,mg/dL
Serum Creatinine,Male: 0.7-1.4,mg/dL
Serum Creatinine,0.2-1.2 mg/dL,mg/dL
Serum Creatinine,0.2 --- 1.2,mg/dL
Serum Creatinine,02 --- 1.2,mg/dL
Serum Creatinine,0.2 ----1.2,mg/dL
SERUM CREATININE,0.5-1.4,mg%
Serum Creatinine,0.70-1.30,mg/dL
Serum Creatinine,0.4-1.4,mg/dL
SERUM CREATININE,0.9-1.3,mg/dL
Serum Creatinine,02----1.2,mg/dL
Serum Creatinine,E.V. Male: 0.7-1.4;,mg/dL
Serum Creatinine,E.V. Male:0.7-1.4,mg/dL
Serum Creatinine,EV.Male:0.7-14,mg/dL
Serum Creatinine,0.6-1.5,mefdl mg/dL
Serum Creatinine,0.6-1.5,med mep/dl
Serum Creatinine,0.7-1.5,mgs/dl
Serum CREATININE,0.6-1.4,me/dl
Serum Creatinine,,
Serum Creatinine 0.90mg/dL EV,0.6,mg/dL Female mg/dL
Serum Creatinine Result,,mg/dL
SERUM CREATININE>1.0 mep/dl 0.6-1.3,,
Serum GGTP,05-37,TU/Lt
Serum Globulin,2.3-3.6,gm/dl
Serum H.D.L Cholesterol,30-70,mg/dL E.V mg/dL
Serum H.D.L. Cholesterol,30-70,mg/dL
Serum H.D.L. Cholesterol,E.V. 30-70,mg/dL
Serum L.D.L Cholesterol,83-117,mg/dL E.V mg/dL
Serum L.D.L. Cholesterol,83-117,mg/dL
Serum L.D.L. Cholesterol,E.V. 83-117,mg/dL
Serum S.G.O.T,E.V.0-46,IU/L
Serum S.G.O.T,E.V.0-46,IU/I
Serum S.G.O.T.,0-46,U/L
Serum S.G.O.T.,E:V. 0-46,IU/I
Serum S.G.P.T,Male: 0-31 ;,IU/L
Serum S.G.P.T,(Male: 0-31);,IU/I
Serum S.G.P.T,,
Serum S.G.P.T.,Male: 0-31,U/L
Serum S.G.P.T.,Male; 0-31,IU/I
SERUM SGOT,5-34,IU/L
Serum SGOT,1-35,IU/L
SERUM SGPT,5-35,IU/L
Serum SGPT,1-45,IU/L
Serum SGPT UV with PSP Methed SGPT,1-34,W/t
SERUM TOTAL PROTIEN (BIURET,6.4-8.3,gm/dL
SERUM TOTAL PROTIEN (BIURET),6.4-8.3,gm/dl
Serum Triglyceride,45-160,mg/dL
SERUM TRIGLYCERIDES,25-160,mg/dL
Serum Triglycerides,E.V. 25-160,mg/dL
Serum Triglycerides,E.V 25-160,mg/dL
SERUM TRIGLYCERIDES,mg/dL0-200,mg/dL
SERUM TRIGLYCERIDES,mg/dL0-150,mg/dL
Serum Triglycerides,E.V 25 160,mg/dL
Serum Triglycerides,8,
Serum Urea,17.0-49.0,mg/dL
SERUM URIC ACID,2.4-5.7,mg%
Serum Uric Acid,3.5-7.2,mg/dL
Serum Uric Acid,E.V Female 2.5-6.2 ;,mg/dL
Serum Uric Acid,E.V Female 2.5-6.2,mg/dL
Serum Uric Acid,2.6-6.0,medi Male mg/dL
Serum V.L.D.L,E.V. 12-33,mg/dL
Serum V.L.D.L,12-33,mg/dL E.V mg/dL
Serum V.L.D.L.,E.V.12-33,mg/dL
Serum V.L.D.L. Cholesterol,12-33,mg/dL
Serum.G.0.T,,1UN
SGOT,0.00-40.00,U/L
SGOT,1-45,U/L
SGOT,5-46,U/L
SGOT,8-40,U/L
SGOT,1-45;,U/L
SGOT,0-37,U/L
SGOT,5-46,U./L
SGOT,0--42,U/L
SGOT,0-42,U/L
SGOT,0---42,U/L / lu/lt
sGOT,0----42,U/L
SGOT,0 - -46,U/L
SGOT,5-40,U/L
SGOT,1-34,U/L
SGOT,0-37,UL
SGOT,0---42,U/L
SGOT,0---42,U/L / lu/it
SGOT,0--42,U/L / lu/It
SGOT,0---42,lu/lt
SGOT,0---42,U/L/lu/lt
SGOT,0-42,lu/lt
SGOT,0-46,U/L
SGOT,0--42 lu/It,
SGOT,0---42,U/L lu/lt
SGOT,0-42,U/L lu/lt
SGOT,0---42 lu/lt,U/L
SGOT,0----42,lu/lt
SGOT,0-42,lu/it / lu/lt
SGOT,0--42 lu/lt,
SGOT,0 --- 42,U/L / lu/it
SGOT,0-42,U/L /lult
SGOT,0--42 u/tt,U/L
SGOT,0-42,U/L/ lu/lt
SGOT,0---42,UL / lu/lt
SGOT,0--42,lu/lt
SGOT,0-42,U/L / lu/lt
SGOT,0---42,U/L/ lu/lt
SGOT,0--42,U/L / lu/lt
SGOT,0-32,IU/L
SGOT,0--42,U/L / lu/ft
SGOT,0--42 iu/It,U/L
SGOT,0--42,U/L lu/lt
SGOT,IU/L0-40,IU/L
SGOT,17-45,U/L
SGOT,0-40,U/L
SGOT,IUSL.0-40,U/L
SGOT,IU/L0-40,
SGOT,8-35,W/L U/L
SGOT,35,TU/L
SGOT,1+34,W/L
SGOT (AST),0-46.0,U/L
SGOT (Ast),5.00-40.00,U/L
"SGOT (AST), Serum",5-40,U/L
"SGOT (AST), Serum",5-32,U/L
SGOT (AST)-serum,5.0-40;,IU/L
SGOT (AST).Serum,5-40,U/L
SGOT (ASTlserum,5.0-40;,IU/L
SGOT / AST,15-37,U/L
SGOT / SGPT,,
SGOT /AST,0-35,U/L
SGOT AST Serum,5-32,U/L
SGOT(AST,,U/L
SGOT(AST),5-34,U/L
SGOT(AST),0.0-35.0,U/L
SGOT(AST),0-37,u/I
SGOT/AST,0-36,U/L
SGOT/AST,10-38,U/L
SGOT/AST,5-40,U/L
SGPT,5-49,U/L
SGPT,8-45,U/L
SGPT,1-45,U/L
SGPT,0-40,U/L
SGPT,1-45,UL
SGPT,5-49,U./L
SGPT,0-49,U/L
SGPT,0-42,U/L lu/lt
SGPT,0-42,U/L / lu/lt
SGPT,0.0-33.0,IU/L
SGPT,0.00-45.0,U/L
SGPT,1-34,U/L
SGPT,10-40,U/L
SGPT,6-40,U/L
SGPT (ALT),0-49.0,U/L
SGPT (ALT),5.00-40.00,U/L
"SGPT (ALT), Serum",5-45,U/L
"SGPT (ALT), Serum",5-33,U/L
SGPT/ALT,16-63,U/L
SGPT/AST,10-41,U/L
SMEAR FOR AFB,No AFB Seen,
SODIUM,137-145,mmol/Lt
Sodium,135-150,mmol/L
Solid Protozoa,,
SPECIFIC GRAVITY,1.003-1.030,
SPECIFIC GRAVITY,1.003-1.035,
Specific Gravity,1.016-1.0.22,
SPECIFIC GRAVITY,1.002-1.035,
Specific Gravity,1.001-1.030,
Spermatozoa,Absent,
SPUTUM FOR AFB,No acid fast bacilli seen,
SR ALBUMIN,3.5-5.2,mg/dL
SR ALKALINE PHOSPHATASE,38-126,u/lit
Sr. Creatinine,0.6-1.4,mg/dL
SR. GLOBULIN,2-3.5,gm/dl
SR. TRlGLYCERlDE,0-200,mg/dL
SR. VLDL,10-30,mg/dL
SR.HDL-CHOLESTEROL,30-70,mg/dL
SR.LDL,60-150,mg/dL
SR.LDL-CHOLESTEROL,0-130,mg/dL
"SR.Total Chol, -LDL/HDL Chol.Rattio ll",1.00-3.55,
SR.Total Chol. - HDL Chol. Ratio l,0-5.3,
SR.VLDL,5-40,mg/dL
SR.VLDL,10-30,mg/dL
STARCH,ABSENT,
Sugar,Nil,
T.C/HDL,3-5,mg/dL
T.L.C,"4,000-11,000",/cumm
T.P.C,1.5-4.5,Lac
T.R.B.C.,3.5-5.5,millions/cu.mm
T3,0.55-2.05,ng/ml
T3,80.00-200.00,ng/dl
T3,58-159,ng/dL
T4,3.50-12.50,ug/dL
T4,5.10-14.10,μg/dl
T4,4.87-11.71,µg/dL
Thyroid Stimulating Hormone (TSH),0.38-4.31,µIU/ml
Thyroid Stimulating Hormone (TSH),0.27-4.2,µIU/mL
THYROID STIMULATING HORMONE (TSH),0.35-5.5,µIU/mL
Thyroid Stimulating Hormone (TSH),0.38-4.31,μIU/ml
"THYROXINE (T4, TOTAL)",3.2-12.6,µg/dL
"THYROXINE (T4, TOTAL)",6.09-12.23,µg/dL
Thyroxine (TT4),4.5-10.3,pg/dL
Thyroxine - Total (TT4),5.1-14.1,µg/dL
"THYROXINE (T4, TOTAL)",3.2-12.6,μg/dL
Thyroxine(TT4),4.5-10.9,μg/dL
"TRIGLYCERIDES, SERUM",0-150,mg/dL
TLC,4000-10000,/cumm.
Total Bilirubin,0.3-1.2,mg/dL
TOTAL BILIRUBIN,0.2-1.0,mg/dL
Total Cholesterol,150-250,mg/dL
TOTAL CHOLESTEROL,140-250,mg/dL
Total Cholesterol,0-220,mg/dL
TOTAL CHOLESTEROL,140-200,mg/dL
Total Cholesterol,0-200,mg/dL
TOTAL CHOLESTEROL,123.0-199.0,mg/dL
Total Cholesterol,130-250,mg/dL
Total Cholesterol : H.D.L. Cholesterol,0.7-1.4,
TOTAL CHOLESTEROL,139-250,mg/dL
"TOTAL CHOLESTEROL, SERUM",0-200,mg/dL
TOTAL CHOLESTEROL/HDL RATIO,0.0-4.97,
TOTAL CHOLESTEROL,200-239,
TOTAL LEUCOCYTE,4000-10000,/cumm
TOTAL LEUCOCYTE,4000-10000,/cmm
Total Leucocyte Count,4000-10500,/cumm
Total Leucocyte Count,4000-11000,/cumm
TOTAL LEUCOCYTE COUNT (TLC),4000-11000,cells/μL
TOTAL LEUCOCYTE COUNT (TLC),4000-11000,/cumm
TOTAL LEUCOCYTE COUNT (TLC),4000-10000,cells/cu.mm
Total Leucocyte Count,4000-10500,/cumm.
Total Leucocytes (WBC) count,4000-10500,cells/cu.mm
TOTAL LEUCOCYTIC COUNT,4000-10000,Cells/cu.mm
Total Leukocyte Count,4000-10000,/Cumm
Total Bilirubin,0.0-1.20,mg/dL
Total Platelet Count,150000-410000,/cmm
Total PLT count,1.5-4.5,Lacks/cu.mm
"TOTAL PROSTATIC SPECIFIC ANTIGEN (tPSA), SERUM",0-4,ng/mL
TOTAL PROTEIN,5.8-8.0,g/dl
Total Protein,6.3-8.4,g/dl
Total Protein,6.6-8.8,g/dl
TOTAL PROTEIN,6.6-8.7,g/dL
TOTAL PROTEIN,6.0-8.0,g/dl
Total Protein,6.3-8.4,gm/dl
Total Proteins,6.0-8.5,gm/dl
Total Proteins,6.7-8.7,gm/dl
Total Proteins,6.0-8.0,gm/dl
"TOTAL PROTEINS, Serum",6.4-8.3,g/dL
Total RBC Count,4.5-5.5,mill/cumm
Total RBC count,3.90-5.60,millions/cmm
Total RBC Count,4.5-5.5,mill./cmm
Total RBC Count,4.0-5.0,mill/cumm
TOTAL RBC COUNT,,Millions/Cumm
Total Red Blood Cell Count (RBC),3.80-5.80,millions/cumm
TOTAL SERUM BILIRUBIN,0-1,mg/dL
Total T3 (Tri-iodothyronine),80-200,ng/dl
Total T4 (Thyroxine),4.5-12,Ug/dl
Total T4 (Thyroxine),66-181,nmol/L
Total Triglycerides,0-150,mg/dL
Total urine volume,,mL/day
Total WBC count,4000-10000,cell/cumm
TOTAL WBC COUNT,4000-11000,/cumm
Total WBC Count,"4,500-10,000",cells/cumm
Total WBC Count,4000-10000,cmm
TOTAL PROTIEN,6.0-7.8,g/dl
TOTAT LEUCOCYTE COUNT (TLC),4000-10000,Cells/cu.mm
Transparency,Clear,
TRGLYCERIDES,30-150,mg/dL
"TRI-IODOTHYRONINE (T3, TOTAL)",0.6-1.81,ng/mL
"TRI-IODOTHYRONINE (T3, TOTAL)",0.7-2.04,mg/dL
Tri-Iodothyronine Total (TT3),80-200,ng/dL
Trichomonas Vaginalis,,/HPF
Triglyceride,Normal 0-150.0 Borderline 150.0-199.0 High 200.0-499.0 Very High >500.0,mg dL
"Triglycerides, Serum",50-200,mg/dL
TRILLODOTHYRONINE TOTAL (TT3),0.60-1.81,ng/mL
TROPHOZOITES,NOT DETECTED,
TSH,0.25-6.0,uIU/mL
TSH 3RD GENERATION,0.27-4.20,μIU/mL
TSH 3RD GENERATION,0.35-4.94,µIU/mL
ULTRA SENSITIVE TSH,0.35-5.5,µlU/mL
Ultrasensitive TSH,0.27-4.2,UIU/ml
UREA SERUM,19-43,mg/dL
URIC ACID,2.5-8,mg/dL
URIC ACID,3.4-7.0,mg/dL
Uric Acid,3.4-7.2,mg/dL
Uric Acid,2.6-6.0,mg/dL
URIC ACID,1.90-7.5,mg/dL
URIC ACID,1.9-7.5,mg/dL
URIC ACID,1.9-7.4,mg/dL
Uric Acid,2.4-7.0,mp/dl
"URIC ACID, SERUM",3.5-8.5,mg/dL
"URIC ACID, SERUM",3.4-7.6,mg/dL
"URIC ACID, Serum",2.4-5.7,mg/dL
URIC ACID,19-43,mg/dL
URINE BILIRUBIN,NORMAL,
Urine δ-ALA,0.4-3.3,mg/L
URINE SERUM,19-43,mg/dL
URINE ALBUMIN,Absent,
URINE BILIRUBIN,NEGATIVE,
Urine Cotinine,,
Urine delta-ALA,0.4-3.3,mg/L
URINE FOR NICOTINE,0-200,ng/ml
Urine Glucose (Sugar),Absent,
Urine Ketone Bodies,,
Urine Ketone Fasting,,
Urine Ketone Post Lunch,,
Urine Ketones,,
Urine Ketones (Acetone),Absent,
URINE KETONES (RANDOM),NEGATIVE,
URINE KETONES (RANOOM),NEGATIVE,
URINE KETONES RANDOM,NEGATIVE,
Urine Nicotine,0-200,
URINE PROTEIN,NEGATIVE,
Urine Protein (Albumin),Absent,
Urine Routine,,
Specific Gravity,1.005-1.030,
Urine Sugar,,
Urine Sugar Fasting,,
Urine Sugar Post Lunch,,
Urine Sugar Random,,
URINE SUGAR (Qualitative),Absent,
UROBILINOGEN,NEGATIVE,
UROBILINOGEN,0.2-1.0,mg/dL
Urobilinogen,0-1,mg/dL
UROBILINOGEN,NORMAL,
Urobillinogen,3.2-16.0,umol/L
Uroblilinogen,,mg/dL
